name,address,region,phone,rating,rating_numbers,website,map
北海道日本料理小吃,880澎湖縣馬公市三多路109號,澎湖縣 / 馬公市,06 926 9628,4.5,116,Nah,https://goo.gl/maps/2TrKTg1F2vmeknFS8
仙人掌早午餐,880澎湖縣馬公市三多路16號,澎湖縣 / 馬公市,0966 521 517,4.5,37,https://www.facebook.com/%E4%BB%99%E4%BA%BA%E6%8E%8C%E6%97%A9%E5%8D%88%E9%A4%90-109797697837125/,https://goo.gl/maps/6UeDm3PS9ghfPNuh9
岩田丼屋,880澎湖縣馬公市三多路361號,澎湖縣 / 馬公市,06 927 2997,4.7,1448,https://www.facebook.com/Iwatadon/,https://goo.gl/maps/PwTTuVch6pkJn4uL7
京蒲和食日式家庭料理,880澎湖縣馬公市光復路174號,澎湖縣 / 馬公市,06 927 2063,3.6,17,https://www.facebook.com/%E4%BA%AC%E8%92%B2%E5%92%8C%E9%A3%9F%E6%97%A5%E5%BC%8F%E5%AE%B6%E5%BA%AD%E6%96%99%E7%90%86-400767560833408/,https://goo.gl/maps/Wb9HKV2D58sxH8dX9
愛咖哩,880澎湖縣馬公市光復路3號,澎湖縣 / 馬公市,06 926 5118,4.8,70,Nah,https://goo.gl/maps/gK3DZ2VM7ddByLWF6
