name,address,region,phone,rating,rating_numbers,website,map
鬍子先生,900屏東縣屏東市北平路28號,屏東縣 / 屏東市,08 732 7390,4.4,542,https://www.facebook.com/Mr.MoustacheCurry/,https://g.page/Mr-MoustacheCurry?share
雙醬咖哩屏東民生店,900屏東縣屏東市民生路118號,屏東縣 / 屏東市,08 721 0720,4.4,42,https://m.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9%E5%B1%8F%E6%9D%B1%E6%B0%91%E7%94%9F%E5%BA%97-101648598830662/?ref=py_c,https://goo.gl/maps/cbVnFdWaJbQPECEs5
米可咖哩,900屏東縣屏東市民族路124號,屏東縣 / 屏東市,08 766 0080,4.6,241,https://www.facebook.com/%E7%B1%B3%E5%8F%AFMico-%E5%A4%96%E5%B8%B6%E6%9C%8D%E5%8B%99-698735863559346/,https://goo.gl/maps/z9jZQCgVtfTtZtVt8
潮州-雙醬咖哩,920屏東縣潮州鎮中洲路121號,屏東縣 / 潮州鎮,08 788 9509,4.4,287,https://www.facebook.com/%E6%BD%AE%E5%B7%9E-%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9-118123368889703/,https://goo.gl/maps/3j9nstHP95kWnZd86
