name,address,region,phone,rating,rating_numbers,website,map
太泰滷味 Super Thai (嘉義文化店)#搬家中，敬請期待,500彰化縣彰化市中山路一段486號,彰化縣 / 彰化市,0931 511 559,4.7,63,https://www.facebook.com/superthai.taichung,https://goo.gl/maps/yNzAzswnpq4dnxsj6
匠咖哩彰化介壽店,500彰化縣彰化市介壽北路252號,彰化縣 / 彰化市,04 728 1995,4.2,118,https://curry252.business.site/,https://goo.gl/maps/j5xzeJTBSGzgXCfd9
一號咖喱簡餐咖啡店,500彰化縣彰化市自強路301巷1號,彰化縣 / 彰化市,0932 600 875,4.7,3,https://www.facebook.com/1nember/,https://goo.gl/maps/cSs84hANMT2MXCjB7
咖哩老吳食堂,510彰化縣員林市中正路163號,彰化縣 / 員林市,04 836 3035,4,24,https://www.facebook.com/%E5%92%96%E5%93%A9%E8%80%81%E5%90%B3%E9%A3%9F%E5%A0%82-104385641009133,https://goo.gl/maps/5CtRgRU5HwhqxqVXA
野島家咖哩屋 員林店,510彰化縣員林市中正路517號,彰化縣 / 員林市,04 836 5998,3.7,252,https://www.facebook.com/nojimacurry510,https://g.page/nojimacurry510?share
咕嚕先生咖哩販賣所,510彰化縣員林市員東路二段105-5號,彰化縣 / 員林市,04 839 1696,4.6,122,https://www.facebook.com/%E5%92%95%E5%9A%95%E5%85%88%E7%94%9F%E5%92%96%E5%93%A9%E8%B2%A9%E8%B3%A3%E6%89%80-105282867939506/,https://goo.gl/maps/pB9asg7vHdcNq7QF9
有片森林「植一座咖啡館」,510彰化縣員林市員林大道三段417號,彰化縣 / 員林市,Nah,4.3,880,http://www.instagram.com/forest.roasting,https://g.page/FOREST-ROASTING?share
品馥咖哩．丼飯,514彰化縣溪湖鎮彰水路三段340號,彰化縣 / 溪湖鎮,04 885 7112,4.2,172,https://www.facebook.com/%E5%93%81%E9%A6%A5%E5%92%96%E5%93%A9%E4%B8%BC%E9%A3%AF-435828680197215/,https://goo.gl/maps/TDbpaddtMTjHL9KRA
雙醬咖哩 北斗中華店,521彰化縣北斗鎮中華路385號,彰化縣 / 北斗鎮,04 888 9997,4.3,76,https://www.facebook.com/opq653976/,https://g.page/opq653976?share
